code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00003009R1;;0762290613;526613;6952763;49,65028;0,6;Normandie;Seine-Maritime;76;Terres-de-Caux;76258;0;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003226Z1;;0502290087;395063;6892893;49,06334;-1,17444;Normandie;Manche;50;Canisy;50095;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003330Z1;;0612290042;480545;6816683;48,41333;0,03361;Normandie;Orne;61;Saint-Germain-du-Corbéis;61397;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003374R1;;0762290193;524134;6934841;49,48861;0,57333;Normandie;Seine-Maritime;76;Port-Jérôme-sur-Seine;76476;1;1;1;1;0;0;0;0;1;2022-07-21;0;0;0;0;1
20801;Orange;00003375R1;;0272290109;569404;6908096;49,25917;1,20611;Normandie;Eure;27;Le Vaudreuil;27528;1;1;1;1;0;0;0;0;1;2022-04-29;0;0;0;0;1
20801;Orange;00003376R1;;0272290157;568634;6910679;49,28223;1,19473;Normandie;Eure;27;Léry;27365;1;1;1;1;0;0;0;0;1;2022-07-28;0;0;0;0;1
20801;Orange;00003377R1;;0762290190;517978;6945207;49,58;0,48388;Normandie;Seine-Maritime;76;Bolbec;76114;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003378R1;;0762290204;557462;6910296;49,27639;1,04139;Normandie;Seine-Maritime;76;Saint-Pierre-lès-Elbeuf;76640;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003379R1;;0272290106;566387;6904487;49,22611;1,16583;Normandie;Eure;27;Louviers;27375;1;1;1;1;0;0;0;0;1;2022-04-29;0;0;0;0;1
20801;Orange;00003380R1;;0762290194;557484;6937932;49,52472;1,03223;Normandie;Seine-Maritime;76;Malaunay;76402;1;0;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003381R1;;0762290195;557077;6914324;49,3125;1,03472;Normandie;Seine-Maritime;76;Cléon;76178;1;1;1;1;0;0;0;0;1;2022-05-31;0;0;0;0;1
20801;Orange;00003382R1;;0762290366;536868;6949059;49,61972;0,74333;Normandie;Seine-Maritime;76;Yvetot;76758;1;1;1;1;0;0;0;0;1;2022-03-21;0;0;0;0;1
